,FIPS,State,SizeRank,RegionName,zhvi_2017,zhvi_2018,zhvi_2019,zhvi_2020,zhvi_2021,B01002_001E,B01003_001E,B08134_001E,B15012_001E,B19013_001E,B19083_001E,B23025_005E,B25001_001E,B25002_002E,B25018_001E,B25035_001E,B25040_002E,B25064_001E,B25081_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,ALAND,AWATER,INTPTLAT,INTPTLONG,AREA
39,37183,NC,39,Wake County,286845.5115342704,302514.98100751004,316941.4673637736,332797.5040793082,383692.3171052169,36.7,1112883.0,470657.0,0.3972969305847964,88471.0,0.4467,0.023891999428511352,454672.0,0.9284583172044902,6.0,1997,0.3929250096773058,1276.0,0.5969688038849984,0.6248725157990552,0.19895622450877584,0.003020083872248925,0.07518849690398721,0.00039536950425157004,0.04080662567403761,0.05676068373764358,0.024533576305865036,0.03222710743177854,0.9738617039144117,0.026138296085588222,35.789846,-78.650624,2219651993
40,37119,NC,40,Mecklenburg County,221347.51095776077,240851.18456390442,255006.5127928078,273788.84617313795,326816.30183682666,35.4,1100984.0,478928.0,0.33979876183486774,73124.0,0.4901,0.02610482986128772,469298.0,0.9281139063026052,5.5,1994,0.4457295790734246,1276.0,0.5236885731454215,0.49899998546754537,0.3141616953561541,0.0034623573094613547,0.060441386977467426,0.00032879678542104153,0.06563038154959563,0.05697539655435501,0.02663344789751713,0.030341948656837883,0.9588453772058824,0.04115462279411763,35.246862,-80.833832,1414339582
41,24031,MD,41,Montgomery County,448862.30082340894,462690.9788294887,477827.9803003759,496160.64309621864,546411.4031743571,39.6,1057201.0,456114.0,0.45090006536127,117345.0,0.4681,0.027172694690981186,401942.0,0.953640077424106,6.3,1980,0.5057819287359868,1844.0,0.6238362748854313,0.48849556517634773,0.18401041996744233,0.003576424918251118,0.15186232324789703,0.0003414677057626695,0.09901617573195637,0.07269762325234275,0.03351964290612665,0.03917798034621609,0.9728594675155352,0.02714053248446479,39.137381,-77.203063,1312879842
42,13121,GA,42,Fulton County,259084.65616808165,282172.9615222634,299425.799888293,314085.8231481024,356981.9743194403,35.9,1054286.0,444627.0,0.4126375575507974,77635.0,0.5342,0.0304926746632318,487896.0,0.905844688212242,5.3,1990,0.45581230426156394,1367.0,0.4807909882433961,0.42478226970670196,0.4348819959669388,0.0023902432546766246,0.07487721548042942,0.00029498636992239297,0.022891321709668913,0.03988196751166192,0.015560293886099218,0.024321673625562704,0.9858943577192412,0.014105642280758853,33.790034,-84.468182,1383848010
43,48085,TX,43,Collin County,354450.6737810266,365434.23854812764,366698.5091067013,377623.2548740857,431234.4256523401,37.2,1039812.0,440666.0,0.3745946382615319,104327.0,0.4319,0.02312437248271803,392627.0,0.9402511798730092,6.5,2000,0.44450330721015113,1521.0,0.6069526548097813,0.6286992263986182,0.10102210784257154,0.004471000527018346,0.16286020934553555,0.0008164937507934126,0.029918869949567807,0.07221209218589514,0.03873488669105569,0.03347720549483945,0.9496528717017735,0.05034712829822657,33.194494,-96.579428,2294389867
44,04019,AZ,44,Pima County,190589.1668236981,200761.19555357718,215621.58871229985,233423.78446697074,280702.4572132697,38.9,1035063.0,408181.0,0.25219817537676453,59215.0,0.4652,0.029582740374257413,467191.0,0.8936024024435402,5.2,1985,0.46629322910758125,976.0,0.5732880128255895,0.6959180262457454,0.03443075445649202,0.036032589320650045,0.028423390653515776,0.0014965272645239953,0.09172195315647454,0.1119767589025982,0.06404537694806983,0.047931381954528375,0.9997852427583617,0.00021475724163838388,32.128038,-111.783657,23803690907
45,15003,HI,45,Honolulu County,635429.0396162356,669901.4716765174,676722.7335245414,688858.3747412339,766712.2997114961,38.4,1015167.0,473886.0,0.267916510288455,92600.0,0.4345,0.02356459577586742,367126.0,0.8999444332463514,4.6,1976,0.030292052319911965,1870.0,0.5258167495628204,0.19855255342224482,0.024801830634762555,0.002456738644971714,0.42307423310647413,0.10242846743442212,0.014674432876561196,0.2340117438805635,0.012192082681962672,0.22181966119860083,0.27731751066109,0.72268248933891,21.461365,-158.201974,5610489638
46,06019,CA,46,Fresno County,230849.0260477285,252549.09052584707,266198.56479962816,281371.40936386207,327575.59419718536,32.6,1003150.0,375599.0,0.1489448238050142,61276.0,0.4737,0.03991327318945322,336509.0,0.9343613395184082,5.2,1980,0.5138733287965552,1098.0,0.5052910917687194,0.5429227932014156,0.04513980959976075,0.01201016797089169,0.10661715595873,0.0016817026366944127,0.15855754373722775,0.13307082689527988,0.0958331256541893,0.03723770124109056,0.9912253777507801,0.008774622249219913,36.761006,-119.655019,15568749186
47,29189,MO,47,Saint Louis County,169588.4096684491,178625.58585105697,185391.1292884016,197594.31345284576,221382.235629027,40.3,1001982.0,436150.0,0.33977656285242647,72562.0,0.4968,0.023126163943064847,444146.0,0.9295546959783495,5.9,1968,0.7091789636741072,1032.0,0.639679294646355,0.6525436584689146,0.24175484190334756,0.0010718755426744192,0.04545590639352803,0.00022754899788618958,0.012278663688569256,0.046667505005079934,0.018622091015607068,0.028045413989472866,0.9706302430678737,0.029369756932126262,38.640688,-90.446073,1355511014
48,36119,NY,48,Westchester County,560041.7131986965,581006.0041635201,589572.3361135296,602216.1374831196,664332.5029427598,41.2,999723.0,424657.0,0.379223044783405,105387.0,0.5318,0.03208588779091808,386583.0,0.9426513840494797,5.3,1957,0.48618537286947433,1682.0,0.5808092958045232,0.5993540210638347,0.14562833904991682,0.004077129364834059,0.06070181440258952,0.0002860792439505743,0.12102452379309069,0.06892809308178366,0.04382413928658238,0.02510395379520127,0.8614953587476666,0.13850464125233347,41.152686,-73.745753,1295203658
49,12031,FL,49,Duval County,161817.46907525216,177606.02090936122,191844.84170988036,204116.5204226654,239212.7646525843,36.5,983153.0,437789.0,0.22917490970377957,59541.0,0.4741,0.026024433633422266,429495.0,0.9010768460634,5.5,1985,0.023495034866529298,1154.0,0.5156032084191899,0.5609696557911129,0.294360084340891,0.001907129409156052,0.047344614724259604,0.0006774123661322296,0.030162141599527237,0.06457896176892101,0.02771186173464354,0.03686710003427747,0.8303186038270335,0.16968139617296657,30.335245,-81.648113,2378809216
50,18097,IN,50,Marion County,120512.24647816208,132744.72361504214,143672.36220718976,157191.43064359497,185462.3333307983,34.4,969542.0,429849.0,0.236381714252709,54601.0,0.4748,0.02917563138059001,434596.0,0.8936253439976438,5.4,1971,0.5230397886773003,959.0,0.4920224760467192,0.5848369642573503,0.2807542117824705,0.001857578114202376,0.037267080745341616,0.0002104086259285312,0.04024683819782949,0.05482691827687712,0.017327769194114336,0.03749914908276279,0.9839971634919997,0.016002836508000315,39.782976,-86.135794,1043787643
